ST	study_context
11	shared between organic chicken and wild-bird isolates
45	shared across organic chicken and wild birds; also observed across ruminant and near-farm wild-bird groups
704	shared between organic chicken and wild-bird isolates
945	shared between organic chicken and wild-bird isolates
1033	shared between organic chicken and wild-bird isolates
1525	shared between organic chicken and wild-bird isolates
6594	shared between organic chicken and wild-bird isolates
19	shared between organic chicken and wild birds; also observed across ruminant and near-farm wild-bird groups
