dataset	role	publication	stable_data_source	note
Mourkas_2024	core workshop dataset	10.1016/j.cub.2024.07.059	https://doi.org/10.6084/m9.figshare.23631495	700-genome public wild-bird C. jejuni collection; use PubMLST publication filter during the practical
PubMLST_Campylobacter	live database	Jolley_et_al_2018	https://pubmlst.org/organisms/campylobacter-jejunicoli	Used for metadata, MLST/CC, cgMLST and Genome Comparator
Microreact	visualisation	Argimon_et_al_2016	https://microreact.org	Used for optional tree/map/metadata visualisation
